mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.023826122283935547,0.0029806635239384848,0.013981437683105469,0.0028640644937238144,0.1,scale,"{'model__C': 0.1, 'model__gamma': 'scale'}",0.6151728124619691,0.6438404551876885,0.6270669098250994,0.6076725320588668,0.59780997126562,0.6183125361598487,0.01594826904446234,16
0.023301076889038087,0.003029022226465252,0.012227439880371093,0.0005016765103945075,0.1,0.001,"{'model__C': 0.1, 'model__gamma': 0.001}",0.1015625,0.26413043478260867,0.2438095238095238,0.22652363184079602,0.10209424083769633,0.18762406625412498,0.07105652748458133,19
0.02171640396118164,0.001574947343230528,0.012665700912475587,0.0013607741887246652,0.1,0.01,"{'model__C': 0.1, 'model__gamma': 0.01}",0.43237547892720307,0.4909795321637427,0.459811320754717,0.4533178865246147,0.4366412572934312,0.45462509513274174,0.020826495946810613,18
0.022256803512573243,0.0037315768760543674,0.012572908401489257,0.0018855289010406254,0.1,0.1,"{'model__C': 0.1, 'model__gamma': 0.1}",0.6359347257366964,0.642778488206877,0.636064560565468,0.6166938015883163,0.6209660226515656,0.6304875197497847,0.009927425755414124,15
0.02350025177001953,0.0020878515185940093,0.012914657592773438,0.0009474623784325908,0.1,1,"{'model__C': 0.1, 'model__gamma': 1}",0.11428936278891584,0.26996370235934664,0.19166376002790372,0.16165689149560117,0.18502225991096036,0.18451919531654554,0.05061022816693935,20
0.01708874702453613,0.0029908926067672534,0.010603570938110351,0.0016023620822964368,1.0,scale,"{'model__C': 1, 'model__gamma': 'scale'}",0.7435846873228792,0.7922913572096605,0.7976166101166101,0.7791549009461858,0.7101821789321789,0.7645659469055028,0.03308077921657486,8
0.022616147994995117,0.0010598911596561215,0.01065673828125,0.0007957822544707331,1.0,0.001,"{'model__C': 1, 'model__gamma': 0.001}",0.4432275098173716,0.45666376569846856,0.45431921020156313,0.4618277539428364,0.4816982571238355,0.45954729935681504,0.012632091009021735,17
0.018315935134887697,0.002327062151411163,0.012157630920410157,0.0020611707116059506,1.0,0.01,"{'model__C': 1, 'model__gamma': 0.01}",0.6602314454211639,0.7169391853126793,0.7298332092084059,0.7761946386946387,0.6647474438240072,0.7095891844921789,0.04323678454890581,10
0.01684727668762207,0.0030642759156721258,0.010232925415039062,0.0017063116043847981,1.0,0.1,"{'model__C': 1, 'model__gamma': 0.1}",0.7669937306013256,0.734254350418734,0.7976166101166101,0.7422260273972602,0.7113600942714866,0.7504901625610833,0.029517213918453827,9
0.02724156379699707,0.001973443545632741,0.011092758178710938,0.001600126485219565,1.0,1,"{'model__C': 1, 'model__gamma': 1}",0.682457515261508,0.7122896469727455,0.6631536767850982,0.6309643612212323,0.6091077010514351,0.6595945802584038,0.0365534278426713,14
0.015194559097290039,0.0014783869480532595,0.008723688125610352,0.0014811130259167959,10.0,scale,"{'model__C': 10, 'model__gamma': 'scale'}",0.8280597997892518,0.7986486486486486,0.8670053475935828,0.7999332816121623,0.8028065574244263,0.8192907270136143,0.02617676677198877,4
0.01637125015258789,0.0015403805524665968,0.01058192253112793,0.0014113192443901666,10.0,0.001,"{'model__C': 10, 'model__gamma': 0.001}",0.6565282729948896,0.7233090136408215,0.7375512130755548,0.7725200959378175,0.6315091359218445,0.7042835463141855,0.05234809203979514,11
0.014879083633422852,0.0015533983215138528,0.009450912475585938,0.0011393426261645304,10.0,0.01,"{'model__C': 10, 'model__gamma': 0.01}",0.7912516724265904,0.8136191955021708,0.8127792765473923,0.8164692907431081,0.7445843909796565,0.7957407652397837,0.02711732836212369,6
0.016664743423461914,0.0019283873971940595,0.008946609497070313,0.001250207835584989,10.0,0.1,"{'model__C': 10, 'model__gamma': 0.1}",0.8071296296296295,0.8012493835278646,0.8473519657730184,0.7672305764411027,0.8050147560227695,0.8055952622788769,0.025444250191065554,5
0.025205469131469725,0.002432123379452096,0.010938167572021484,0.0017982027309441904,10.0,1,"{'model__C': 10, 'model__gamma': 1}",0.6926902235826721,0.7263703481046537,0.6863451570024339,0.6228596069833798,0.5975531343863135,0.6651636940118906,0.04756772490263024,12
0.02004404067993164,0.001726935530873838,0.008045625686645509,0.002068655886497372,100.0,scale,"{'model__C': 100, 'model__gamma': 'scale'}",0.8367303893541539,0.8387741505662891,0.8676838662419052,0.8257427260783161,0.8091926043087124,0.8356247473098755,0.019158501085181658,2
0.013358020782470703,0.0014649532430551489,0.008974790573120117,0.0016587998641703408,100.0,0.001,"{'model__C': 100, 'model__gamma': 0.001}",0.7907713914946539,0.8163582691021716,0.7910034379489524,0.8139891961928983,0.7387398553375075,0.7901724300152366,0.027925957770032404,7
0.013667488098144531,0.0004886120508251131,0.0069254875183105465,0.0006131065411927869,100.0,0.01,"{'model__C': 100, 'model__gamma': 0.01}",0.854737404408457,0.8362337548953579,0.8599753714240106,0.8314566984203893,0.7959813227189222,0.8356769103734274,0.022572450404299418,1
0.01750040054321289,0.0005651720539216726,0.0074127197265625,0.0011041848784001961,100.0,0.1,"{'model__C': 100, 'model__gamma': 0.1}",0.8338409838409838,0.8203947368421052,0.8475749796946624,0.7936769005847955,0.8170148930017351,0.8225004987928564,0.01801478343789004,3
0.02278733253479004,0.0025086717851956915,0.009978914260864257,0.000888321398021789,100.0,1,"{'model__C': 100, 'model__gamma': 1}",0.6926902235826721,0.7263703481046537,0.6863451570024339,0.6228596069833798,0.5975531343863135,0.6651636940118906,0.04756772490263024,12
